group_id,group_name,group_code,old_group_id,old_group_name,old_group_code
3940,EFIK-RAINBOW GROUP,EFIK-R,365,ABULOMA OLD GROUP,ABULOM
3941,ABULOMA,ABULOM,365,ABULOMA OLD GROUP,ABULOM
3942,EJUAN,EJUAN,365,ABULOMA OLD GROUP,ABULOM
3943,RAINBOW,RAINBO,365,ABULOMA OLD GROUP,ABULOM
3944,TERE-AMA,TERE-A,365,ABULOMA OLD GROUP,ABULOM
3945,ALAKAHIA GROUP,ALAKAH,366,CAMPUS OLD GROUP,CAMPUS
3946,ABUJA GROUP,ABUJA ,366,CAMPUS OLD GROUP,CAMPUS
3947,PHC-UNIPORT CHOBA,PHC-UN,366,CAMPUS OLD GROUP,CAMPUS
3948,ALUU GROUP,ALUU G,366,CAMPUS OLD GROUP,CAMPUS
3949,CORPER'S FELLOWSHIP,CORPER,366,CAMPUS OLD GROUP,CAMPUS
3950,IAUE,IAUE,366,CAMPUS OLD GROUP,CAMPUS
3951,ABUJA GROUP,ABUJA ,366,CAMPUS OLD GROUP,CAMPUS
3952,ALAKAHIA,ALAKAH,367,CHOBA OLD GROUP,CHOBA
3953,CHOBA,CHOBA,367,CHOBA OLD GROUP,CHOBA
3954,RUMUEKINI,RUMUEK,367,CHOBA OLD GROUP,CHOBA
3955,IGWE,IGWE,367,CHOBA OLD GROUP,CHOBA
3956,DIOBU,DIOBU,368,DIOBU OLD GROUP,DIOBU
3957,EFIK DIOBU,EFIK D,368,DIOBU OLD GROUP,DIOBU
3958,IGBO,IGBO,368,DIOBU OLD GROUP,DIOBU
3959,MILE 1,MILE 1,368,DIOBU OLD GROUP,DIOBU
3960,MILE 3,MILE 3,368,DIOBU OLD GROUP,DIOBU
3961,REBISI,REBISI,368,DIOBU OLD GROUP,DIOBU
3962,RUMIELECHI,RUMIEL,368,DIOBU OLD GROUP,DIOBU
3963,RUMUESARA,RUMUES,369,ENEKA OLD GROUP,ENEKA
3964,RUMUOGUNUMA,RUMUOG,369,ENEKA OLD GROUP,ENEKA
3965,RUMUOSITA,RUMUOS,369,ENEKA OLD GROUP,ENEKA
3966,RUMUOWHA,RUMUOW,369,ENEKA OLD GROUP,ENEKA
3967,MGBARAJA,MGBARA,370,OGBOGORO OLD GROUP,OGBOGO
3968,OZODO,OZODO,370,OGBOGORO OLD GROUP,OGBOGO
3969,EFIK-OGBOGORO,EFIK-O,370,OGBOGORO OLD GROUP,OGBOGO
3970,OGBOGORO,OGBOGO,370,OGBOGORO OLD GROUP,OGBOGO
3971,D/LINE,D/LINE,371,OGBUM-NU-ABALI OLD GROUP,OGBUM-
3972,NEW GRA,NEW GR,371,OGBUM-NU-ABALI OLD GROUP,OGBUM-
3973,OGBUM-NU-ABALI,OGBUM-,371,OGBUM-NU-ABALI OLD GROUP,OGBUM-
3974,OLD GRA,OLD GR,371,OGBUM-NU-ABALI OLD GROUP,OGBUM-
3975,EVORLU,EVORLU,372,OLANADA OLD GROUP,OLANAD
3976,IKWERRE-OBIO,IKWERR,372,OLANADA OLD GROUP,OLANAD
3977,IKWERRE-REBISI,IKWERR,372,OLANADA OLD GROUP,OLANAD
3978,OHIO ADA,OHIO A,372,OLANADA OLD GROUP,OLANAD
3979,OKANIA,OKANIA,372,OLANADA OLD GROUP,OLANAD
3980,OLANADA,OLANAD,372,OLANADA OLD GROUP,OLANAD
3981,RUMUOKWUTA,RUMUOK,372,OLANADA OLD GROUP,OLANAD
3982,RUMUOLA,RUMUOL,372,OLANADA OLD GROUP,OLANAD
3983,ATALI,ATALI,373,OROIGWE OLD GROUP,OROIGW
3984,ELIMGBU,ELIMGB,373,OROIGWE OLD GROUP,OROIGW
3985,ELIOZU,ELIOZU,373,OROIGWE OLD GROUP,OROIGW
3986,OROIGWE,OROIGW,373,OROIGWE OLD GROUP,OROIGW
3987,RUMUDURU,RUMUDU,373,OROIGWE OLD GROUP,OROIGW
3988,DEEPER LIFE HIGH SCHOOL,DEEPER,374,OZUOBA OLD GROUP,OZUOBA
3989,OZUOBA,OZUOBA,374,OZUOBA OLD GROUP,OZUOBA
3990,ALIMINI,ALIMIN,374,OZUOBA OLD GROUP,OZUOBA
3991,RUMUOKPARALI,RUMUOK,374,OZUOBA OLD GROUP,OZUOBA
3992,NEW LAYOUT,NEW LA,375,PIPE-LINE  OLD GROUP,PIPE-L
3993,PALMVIEW,PALMVI,375,PIPE-LINE  OLD GROUP,PIPE-L
3994,PIPE-LINE,PIPE-L,375,PIPE-LINE  OLD GROUP,PIPE-L
3995,ELIKPOKWU-ODU,ELIKPO,376,RUKPOKWU OLD GROUP,RUKPOK
3996,RUKPOKWU,RUKPOK,376,RUKPOKWU OLD GROUP,RUKPOK
3997,RUMUAPU,RUMUAP,376,RUKPOKWU OLD GROUP,RUKPOK
3998,WHITE HOUSE,WHITE ,376,RUKPOKWU OLD GROUP,RUKPOK
3999,INT'L MARKET,INT'L ,377,RUMUAGHOLU OLD GROUP,RUMUAG
4000,RUMUAGHOLU,RUMUAG,377,RUMUAGHOLU OLD GROUP,RUMUAG
4001,RUMUODOMAYA,RUMUOD,377,RUMUAGHOLU OLD GROUP,RUMUAG
4002,AGBADA,AGBADA,377,RUMUAGHOLU OLD GROUP,RUMUAG
4003,AGIP,AGIP,378,RUMUEME OLD GROUP,RUMUEM
4004,EAGLE ISLAND,EAGLE ,378,RUMUEME OLD GROUP,RUMUEM
4005,RUMUCHINDA,RUMUCH,378,RUMUEME OLD GROUP,RUMUEM
4006,RUMUEME,RUMUEM,378,RUMUEME OLD GROUP,RUMUEM
4007,RUMUKPAKANI,RUMUKP,378,RUMUEME OLD GROUP,RUMUEM
4008,RUMUEPIRIKOM,RUMUEP,378,RUMUEME OLD GROUP,RUMUEM
4009,APARA LINK,APARA ,379,RUMUIGBO OLD GROUP,RUMUIG
4010,MGBUOBA,MGBUOB,379,RUMUIGBO OLD GROUP,RUMUIG
4011,NKPOLU,NKPOLU,379,RUMUIGBO OLD GROUP,RUMUIG
4012,ORIANWOKPAKANI,ORIANW,379,RUMUIGBO OLD GROUP,RUMUIG
4013,RUMUIGBO,RUMUIG,379,RUMUIGBO OLD GROUP,RUMUIG
4014,RUMUOMOI,RUMUOM,379,RUMUIGBO OLD GROUP,RUMUIG
4015,EFIK-OBIO,EFIK-O,380,RUMUODARA OLD GROUP,RUMUOD
4016,GOD'S OWN,GOD'S ,380,RUMUODARA OLD GROUP,RUMUOD
4017,ORIANWO,ORIANW,380,RUMUODARA OLD GROUP,RUMUOD
4018,RUMUODARA,RUMUOD,380,RUMUODARA OLD GROUP,RUMUOD
4019,RUMUOKWURUSHI,RUMUOK,380,RUMUODARA OLD GROUP,RUMUOD
4020,ELIGBOLO,ELIGBO,381,RUMUOKORO OLD GROUP,RUMUOK
4021,ODOZU,ODOZU,381,RUMUOKORO OLD GROUP,RUMUOK
4022,BARRACKS,BARRAC,381,RUMUOKORO OLD GROUP,RUMUOK
4023,EFIK-RUMUOKORO,EFIK-R,381,RUMUOKORO OLD GROUP,RUMUOK
4024,RUMUOKORO,RUMUOK,381,RUMUOKORO OLD GROUP,RUMUOK
4025,AZUMINI,AZUMIN,382,RUMUOLUMENI OLD GROUP,RUMUOL
4026,CHINWOTA,CHINWO,382,RUMUOLUMENI OLD GROUP,RUMUOL
4027,ELIOPARANWO,ELIOPA,382,RUMUOLUMENI OLD GROUP,RUMUOL
4028,MGBUODOHIA,MGBUOD,382,RUMUOLUMENI OLD GROUP,RUMUOL
4029,MGBUOLIMINI,MGBUOL,382,RUMUOLUMENI OLD GROUP,RUMUOL
4030,NKPOR,NKPOR,382,RUMUOLUMENI OLD GROUP,RUMUOL
4031,AZUABIE,AZUABI,383,RUMUOMASI OLD GROUP,RUMUOM
4032,ELEKAHIA,ELEKAH,383,RUMUOMASI OLD GROUP,RUMUOM
4033,OGINIGBA,OGINIG,383,RUMUOMASI OLD GROUP,RUMUOM
4034,RUMUIBEKWE,RUMUIB,383,RUMUOMASI OLD GROUP,RUMUOM
4035,RUMUOGBA,RUMUOG,383,RUMUOMASI OLD GROUP,RUMUOM
4036,RUMUOMASI,RUMUOM,383,RUMUOMASI OLD GROUP,RUMUOM
4037,BORIKIRI,BORIKI,384,TOWN OLD GROUP,TOWN
4038,BUNDU,BUNDU,384,TOWN OLD GROUP,TOWN
4039,EFIK-TOWN,EFIK-T,384,TOWN OLD GROUP,TOWN
4040,LANGUAGE,LANGUA,384,TOWN OLD GROUP,TOWN
4041,MARINE BASE,MARINE,384,TOWN OLD GROUP,TOWN
4042,TOWN,TOWN,384,TOWN OLD GROUP,TOWN
4043,NEW ROAD,NEW RO,384,TOWN OLD GROUP,TOWN
4044,ALCON,ALCON,385,WOJI OLD GROUP,WOJI
4045,ELELENWO,ELELEN,385,WOJI OLD GROUP,WOJI
4046,OIL MILL,OIL MI,385,WOJI OLD GROUP,WOJI
4047,RUMUODANI,RUMUOD,385,WOJI OLD GROUP,WOJI
4048,RUMUROLU,RUMURO,385,WOJI OLD GROUP,WOJI
4049,WOJI TOWN,WOJI T,385,WOJI OLD GROUP,WOJI
4050,ESTATE,ESTATE,385,WOJI OLD GROUP,WOJI
