district_name,group_id,group_name
OROWORUKWO,3971,D/LINE
EZIMGBU EXTENSION,3972,NEW GRA
NEW GRA,3972,NEW GRA
OROCHIRI,3972,NEW GRA
OROMERUEZIMGBU,3972,NEW GRA
RABISI GARDEN,3972,NEW GRA
RUMUOKALAGBOR 1,3972,NEW GRA
RUMUOKALAGBOR 2,3972,NEW GRA
RUMUOKALAGBOR 3,3972,NEW GRA
CIVIC CENTRE,3973,OGBUM-NU-ABALI
EDE,3973,OGBUM-NU-ABALI
OGBONDA,3973,OGBUM-NU-ABALI
OGBUGA,3973,OGBUM-NU-ABALI
OGBUM,3973,OGBUM-NU-ABALI
EXTENSION,3974,OLD GRA
GADA,3974,OLD GRA
OLD GRA   1,3974,OLD GRA
OLD GRA   2,3974,OLD GRA
OROIJE,3974,OLD GRA
BREAD OF LIFE,3975,EVORLU
EVORLU,3975,EVORLU
NOBLE,3975,EVORLU
RUMUOKE,3975,EVORLU
IKWERRE ELELENWO,3976,IKWERRE-OBIO
IKWERRE ELIOZU,3976,IKWERRE-OBIO
IKWERRE ORIOGWE,3976,IKWERRE-OBIO
IKWERRE OZUOBA,3976,IKWERRE-OBIO
IKWERRE RUKPOKWU,3976,IKWERRE-OBIO
IKWERRE RUMUOKORO,3976,IKWERRE-OBIO
IKWERRE DIOBU,3977,IKWERRE-REBISI
IKWERRE ELEKAHIA,3977,IKWERRE-REBISI
IKWERRE OGBUM NU ABALI,3977,IKWERRE-REBISI
IKWERRE OLANADA,3977,IKWERRE-REBISI
IKWERRE OLUMENI,3977,IKWERRE-REBISI
IKWERRE OMASI,3977,IKWERRE-REBISI
OHIADA,3978,OHIO ADA
SALVATION,3978,OHIO ADA
FARM ROAD,3979,OKANIA
NEW ROAD,3979,OKANIA
OKANIA,3979,OKANIA
EKENENWO,3980,OLANADA
ESTATE,3980,OLANADA
LOCATION,3980,OLANADA
ORAZI,3980,OLANADA
KALA,3981,RUMUOKWUTA
OKILTON,3981,RUMUOKWUTA
OWABIE,3981,RUMUOKWUTA
RUMUOKWUTA,3981,RUMUOKWUTA
RUMUADALU,3982,RUMUOLA
RUMUOLA,3982,RUMUOLA
ATALI,3983,ATALI
ELIMGBU 2,3983,ATALI
FARM ESTATE,3983,ATALI
MINI CHINDA,3983,ATALI
STATION,3983,ATALI
STREAM VIEW,3983,ATALI
ELIMGBU 1,3984,ELIMGBU
PABOD,3984,ELIMGBU
PABOD EXTENSION,3984,ELIMGBU
PRIME,3984,ELIMGBU
RUMUWHARA NEW LAYOUT,3984,ELIMGBU
VALLEY VIEW,3984,ELIMGBU
DIVINE,3985,ELIOZU
ELIOZU,3985,ELIOZU
FAITH,3985,ELIOZU
NEW LAYOUT,3985,ELIOZU
REDEMPTION,3985,ELIOZU
DOMINION DISTRICT,3986,OROIGWE
ELIOWHANI DISTRICT,3986,OROIGWE
GATEWAY 1,3986,OROIGWE
NEW DAWN,3986,OROIGWE
NEW LIFE,3986,OROIGWE
OWHANI,3986,OROIGWE
RUMUEWHARA,3986,OROIGWE
TRIUMPHANT,3986,OROIGWE
ALL SAINTS,3987,RUMUDURU
ESTATE,3987,RUMUDURU
NEW HAVEN,3987,RUMUDURU
WATCHMAN,3987,RUMUDURU
ADULT,3988,DEEPER LIFE HIGH SCHOOL
JUNIOR SCHOOL,3988,DEEPER LIFE HIGH SCHOOL
SENIOR SCHOOL,3988,DEEPER LIFE HIGH SCHOOL
CENTRAL,3989,OZUOBA
GOJEHOTA,3989,OZUOBA
IGBOGO,3989,OZUOBA
KORO,3989,OZUOBA
NEW ROAD,3989,OZUOBA
ODOMENE,3989,OZUOBA
OZUOBA,3989,OZUOBA
AIT,3990,ALIMINI
DAYSPING,3990,ALIMINI
ORIEBE,3990,ALIMINI
POWERLINE 1,3990,ALIMINI
POWERLINE 2,3990,ALIMINI
RUMUOKANI,3990,ALIMINI
ABUJA,3991,RUMUOKPARALI
BREAD OF LIFE,3991,RUMUOKPARALI
CANNA,3991,RUMUOKPARALI
PHAREZ,3991,RUMUOKPARALI
RUMUALOGU,3991,RUMUOKPARALI
